,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
2807,905890511,35243000,Silver,1,0,6,4,166.8333333,Female,25-34 Years,HN,Unknown,Individual,0
2808,905895598,27408000,Silver,1,0,3,11,46.0,Female,35-44 Years,ONLINE,For Self,Individual,1
2809,906041102,20310000,Silver,1,0,2,1,36.5,Female,35-44 Years,ONLINE,For Self,Individual,1
2810,906060909,132818000,Gold,3,1,7,6,136.8571429,Female,18-24 Years,HN,For Self,Individual,0
2811,906090522,64808500,Gold,2,0,18,38,10.5,Female,25-34 Years,HCM,For Self,Individual,1
2812,906098777,28480000,Silver,1,0,4,0,212.6,Male,Unknown,HCM,Unknown,Individual,1
2813,906109103,37606000,Silver,1,0,4,10,165.25,Female,35-44 Years,HCM,For Self,Individual,0
2814,906109191,25223000,Silver,1,0,5,0,111.8,Female,25-34 Years,HCM,For Self,Individual,1
2815,906121221,26060000,Silver,1,0,4,5,97.25,Female,25-34 Years,HCM,For Self,Individual,0
2816,906140099,23182000,Silver,1,0,5,7,59.8,Male,25-34 Years,HCM,Gift to Others,Individual,0
2817,906240593,65319000,Gold,2,0,3,29,46.33333333,Female,25-34 Years,HCM,For Self,Individual,1
2818,906249986,21530000,Silver,1,0,2,6,1.5,Male,35-44 Years,HN,Gift to Others,Individual,1
2820,906330098,24290000,Silver,1,0,2,0,11.5,Male,25-34 Years,HCM,For Self,Individual,1
2821,906338181,28991000,Silver,1,0,4,5,73.25,Female,18-24 Years,HN,For Self,Individual,0
2822,906339709,32177000,Silver,1,0,3,7,76.0,Female,35-44 Years,HCM,For Self,Individual,1
2823,906363397,22502000,Silver,1,0,2,13,2.0,Female,Unknown,ONLINE,For Self,Individual,1
2824,906370400,27026000,Silver,1,0,3,1,270.3333333,Female,Unknown,HCM,For Self,Individual,1
2825,906392176,22390000,Silver,1,0,2,8,10.5,Female,35-44 Years,HCM,For Self,Individual,1
2826,906398705,22420000,Silver,1,0,4,0,72.75,Female,25-34 Years,HCM,For Self,Individual,1
2827,906412357,94141500,Silver,2,1,18,3,81.61111111,Female,25-34 Years,HCM,For Self,Individual,1
2828,906413547,21980000,Silver,1,0,5,0,70.8,Female,25-34 Years,HCM,For Self,Individual,0
2829,906483322,21540000,Silver,1,0,2,4,58.5,Female,35-44 Years,HCM,For Self,Individual,1
2830,906555389,31120000,Silver,1,0,2,0,71.0,Female,25-34 Years,HN,For Self,Individual,0
2831,906577232,20432000,Silver,1,0,2,7,56.5,Female,25-34 Years,ONLINE,For Self,Individual,1
2832,906599911,78935000,Gold,2,0,10,0,35.2,Female,25-34 Years,HN,For Self,Individual,1
2833,906617477,16830000,Silver,1,0,2,12,4.0,Male,35-44 Years,HCM,Gift to Others,Individual,1
2834,906626886,107906000,Gold,1,0,5,35,154.2,Female,35-44 Years,HCM,Gift to Others,Individual,0
2835,906636598,28585000,Silver,1,0,2,0,6.5,Male,Unknown,HCM,Unknown,Individual,1
2836,906660911,24355000,Silver,1,0,2,0,8.5,Female,25-34 Years,HCM,For Self,Individual,1
2837,906699120,98485650,Silver,2,1,18,10,41.05,Female,25-34 Years,HCM,For Self,Individual,0
2838,906748868,27842000,Silver,1,0,2,2,49.5,Female,35-44 Years,HCM,For Self,Individual,1
2839,906749614,26257000,Silver,1,0,3,0,22.33333333,Male,Unknown,HCM,Gift to Others,Individual,1
2840,906750674,22390000,Silver,1,0,2,9,13.0,Female,25-34 Years,HCM,For Self,Individual,1
2841,906751282,30709000,Silver,1,0,4,15,45.5,Female,25-34 Years,HCM,For Self,Individual,1
2842,906752232,26010000,Silver,1,0,3,4,121.3333333,Male,25-34 Years,HCM,Gift to Others,Individual,0
2843,906761236,44592000,Silver,1,0,3,0,16.66666667,Female,25-34 Years,HN,For Self,Individual,1
2844,906780505,24928000,Silver,1,0,2,0,19.0,Female,25-34 Years,HCM,For Self,Individual,1
2845,906781778,29302000,Silver,1,0,2,8,2.0,Female,25-34 Years,HCM,For Self,Individual,1
2846,906805620,38005000,Silver,1,0,7,0,53.85714286,Female,25-34 Years,HCM,For Self,Individual,1
2847,906828097,23080000,Silver,1,0,4,9,73.0,Female,35-44 Years,HCM,For Self,Individual,1
